Alphabet Inc., 762.38, 0
Amazon.com, 676.01, 0
Apple Inc., 116.28, 0
Coca-Cola Company, 42.77, 0
Direxion Daily, 16.43, 0
eBay Inc., 28.97, 0
FedEx Corporation , 157.87, 0
General Motors , 35.73, 0
HP Inc. Common Stock, 11.95, 0
International Business Machines, 139.7, 0
Microsoft Corporation, 55.21, 0
Oracle Corporation , 38.7, 0
Sony Corporation, 25.4, 0
Starbucks Corporation, 61.22, 0
Tesla Motors, 231.99, 0
Toyota Motor, 125.74, 0
United Parcel Service, 103.3, 0
